Term,Type,ECSS Standards,Branches
multicarrier average power,full term,['ECSS-E-ST-20-01C'],['E']
minimum inflexion point,full term,['ECSS-E-ST-20-01C'],['E']
multipactor discharge,full term,['ECSS-E-ST-20-01C'],['E']
multipactor threshold,full term,['ECSS-E-ST-20-01C'],['E']
multicarrier signal,full term,['ECSS-E-ST-20-01C'],['E']
RF boundary conditions,full term,['ECSS-E-ST-20-01C'],['E']
secondary electron emission yield,full term,['ECSS-E-ST-20-01C'],['E']
total secondary electron emission coefficient,full term,['ECSS-E-ST-20-01C'],['E']
"Ap, Kp indices",full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
albedo,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
atmospheric albedo neutrons,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
confidence level,full term,['ECSS-E-ST-10-04C Rev.1'],['E']
current,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
distribution function f,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
dust,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
Earth infrared,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
exosphere,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
external field,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
F10.7 flux,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
geocentric solar magnetospheric coordinates,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
GNSS orbits,full term,['ECSS-E-ST-10-04C Rev.1'],['E']
heterosphere,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
homosphere,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
internal field,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
interplanetary magnetic field,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
L or L shell,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
magnetic local time,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
Maxwellian distribution,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
meteoroids,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
meteoroid stream,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
nano-Tesla,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
particulate contaminant,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
"single-event upset , single-event effect , single-event latch-up",full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
sporadic flux,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
total Solar irradiance,full term,['ECSS-E-ST-10-04C Rev.1'],['E']
solar flare,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
thermosphere,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
trackable objects,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
world magnetic model,full term,"['ECSS-E-ST-10-04C Rev.1', 'ECSS-E-ST-10-04C']",['E']
acceptance window,full term,['ECSS-E-ST-50-16C'],['E']
bandwidth allocation gap,full term,['ECSS-E-ST-50-16C'],['E']
Best-Effort traffic,full term,['ECSS-E-ST-50-16C'],['E']
broadcast,full term,['ECSS-E-ST-50-16C'],['E']
cluster,full term,['ECSS-E-ST-50-16C'],['E']
compression master,full term,['ECSS-E-ST-50-16C'],['E']
critical traffic,full term,['ECSS-E-ST-50-16C'],['E']
End-System,full term,['ECSS-E-ST-50-16C'],['E']
flow controlled traffic,full term,['ECSS-E-ST-50-16C'],['E']
globally administered MAC,full term,['ECSS-E-ST-50-16C'],['E']
locally administered MAC,full term,['ECSS-E-ST-50-16C'],['E']
protocol control frame,full term,['ECSS-E-ST-50-16C'],['E']
raster granularity,full term,['ECSS-E-ST-50-16C'],['E']
Rate-Constrained,full term,['ECSS-E-ST-50-16C'],['E']
schedule table,full term,['ECSS-E-ST-50-16C'],['E']
Switch,full term,['ECSS-E-ST-50-16C'],['E']
synchronization client,full term,['ECSS-E-ST-50-16C'],['E']
synchronization master,full term,['ECSS-E-ST-50-16C'],['E']
synchronization precision,full term,['ECSS-E-ST-50-16C'],['E']
Time-Triggered frame,full term,['ECSS-E-ST-50-16C'],['E']
unicast,full term,['ECSS-E-ST-50-16C'],['E']
virtual link,full term,['ECSS-E-ST-50-16C'],['E']
virtual link identifier,full term,['ECSS-E-ST-50-16C'],['E']
channel,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
communication service,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
cross support,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
downlink,full term,['ECSS-E-ST-50C Rev. 1'],['E']
duplex service,full term,['ECSS-E-ST-50C Rev. 1'],['E']
essential telecommand,full term,['ECSS-E-ST-50C Rev. 1'],['E']
essential telemetry,full term,['ECSS-E-ST-50C Rev. 1'],['E']
isochronous service,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
protocol,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
service data unit,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
service­provider,full term,['ECSS-E-ST-50C Rev. 1'],['E']
service­user,full term,['ECSS-E-ST-50C Rev. 1'],['E']
simplex,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
sink,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
telecommand,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
telecommand link,full term,['ECSS-E-ST-50C Rev. 1'],['E']
telemetry,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
telemetry link,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
uplink,full term,['ECSS-E-ST-50C Rev. 1'],['E']
user application,full term,"['ECSS-E-ST-50C Rev. 1', 'ECSS-E-ST-50C']",['E']
aggressive environment,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
analytical life,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
containment,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
crack-like defect,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
"crack aspect ratio, a/c",full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
crack growth rate,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
crack growth retardation,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
critical crack size,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
"critical initial defect, CID",full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
critical stress-intensity factor,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
cyclic loading,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
damage tolerance threshold strain,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
damage tolerant,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
defect,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-Q-ST-70-39C', 'ECSS-S-ST-00-01C', 'ECSS-E-ST-32-01C Rev. 1']","['E', 'Q', 'S']"
detected defect,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
fail-safe,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-Q-ST-70-46C Rev. 1', 'ECSS-S-ST-00-01C', 'ECSS-Q-ST-40C', 'ECSS-E-ST-32-01C Rev. 1']","['E', 'Q', 'S']"
fatigue,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-Q-ST-70-45C', 'ECSS-E-ST-32-01C Rev. 1']","['E', 'Q']"
fracture critical item,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
fracture limited life item,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
fracture toughness,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-Q-ST-70-45C', 'ECSS-E-ST-32-01C Rev. 1']","['E', 'Q']"
initial crack size,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
joint,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
"load enhancement factor, LEF",full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
loading event,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
load spectrum,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
"potential fracture critical item, PFCI",full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
R-ratio,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
rotating machinery,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
"stress-corrosion cracking, SCC",full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
"stress intensity factor, K",full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
structural screening,full term,['ECSS-E-ST-32-01C Rev. 2'],['E']
"threshold stress intensity range,",full term,['ECSS-E-ST-32-01C Rev. 2'],['E']
variable amplitude spectrum,full term,"['ECSS-E-ST-32-01C Rev. 2', 'ECSS-E-ST-32-01C Rev. 1']",['E']
ambient level,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
antenna factor,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
common mode voltage,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
contact discharge method,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
electromagnetic environmental effects,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
field strength,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
ground plane,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
improper response,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
inadvertent response,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
line impedance stabilization network,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
not operating,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
overshield,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
passive intermodulation product,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
power quality requirements,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
soft magnetic material,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
test antenna,full term,"['ECSS-E-ST-20-07C Rev. 2', 'ECSS-E-ST-20-07C', 'ECSS-E-ST-20-07C Rev. 1']",['E']
24-hour equivalent noise exposure level,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
abbreviated functional test,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
acceptance level,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
crewed space segment element,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
dwell time,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
environmental tests,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
full functional test,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
maximum expected acceleration,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
maximum expected acoustic spectrum,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
maximum expected shock,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
maximum expected random vibration spectrum,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
maximum predicted temperature,full term,['ECSS-E-ST-10-03C Rev.1'],['E']
minimum predicted temperature,full term,['ECSS-E-ST-10-03C Rev.1'],['E']
notching,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
operational modes,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
performance test,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
polarity test,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
qualification level,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
reduced functional test,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
residual life,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
resolution,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
resonance search,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
reverberation time,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
shock response spectrum,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
sign test,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
temperature cycle,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
temperature plateau,full term,['ECSS-E-ST-10-03C Rev.1'],['E']
test block,full term,"['ECSS-E-ST-10-03C Rev.1', 'ECSS-E-ST-10-03C']",['E']
test input tolerance,full term,['ECSS-E-ST-10-03C Rev.1'],['E']
thermal test at room pressure,full term,['ECSS-E-ST-10-03C Rev.1'],['E']
thermal test at mission pressure,full term,['ECSS-E-ST-10-03C Rev.1'],['E']
thermal vacuum,full term,['ECSS-E-ST-10-03C Rev.1'],['E']
antenna farm,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
antenna port,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
antenna RF chain,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
antenna support structure,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
array antenna,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
array-fed reflector antenna,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
battery bus,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C Rev.1']",['E']
beam forming network,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
conducted emission,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
critical line,full term,['ECSS-E-ST-20C Rev.2'],['E']
critical net,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-Q-ST-70-12C']","['E', 'Q']"
critical pressure,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
diffusivity,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
depth of discharge,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
double insulation,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-Q-ST-70-12C', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']","['E', 'Q']"
electrical bonding,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
electromagnetic compatibility,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
electromagnetic compatibility control,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
electromagnetic interference,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
electromagnetic interference safety margin,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
emission,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
energy balance,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C Rev.1']",['E']
energy reserve,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C Rev.1']",['E']
essential function,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
faulty signal,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C Rev.1']",['E']
foldback current limiter,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
fully regulated bus,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
grounding,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
high Priority telecommand,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
high voltage,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
insulation,full term,['ECSS-E-ST-20C Rev.2'],['E']
invariable gap,full term,['ECSS-E-ST-20C Rev.2'],['E']
isolation,full term,['ECSS-E-ST-20C Rev.2'],['E']
lens antenna,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
lightning indirect effects,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
major reconfiguration function,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
nameplate capacity,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C Rev.1']",['E']
non essential loads,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
passive intermodulation products,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
primary cell or battery,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
primary power bus,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C Rev.1']",['E']
radiofrequency,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
radiated emission,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
recharge ratio,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
reflector antenna,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
reliable insulation,full term,['ECSS-E-ST-20C Rev.2'],['E']
RF chain,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
RF lens,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
RF reflector,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
secondary cell or battery,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
solar aspect angle,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C Rev.1']",['E']
susceptibility,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
susceptibility threshold,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
vacuum,full term,"['ECSS-E-ST-20C Rev.2', 'ECSS-E-ST-20C', 'ECSS-E-ST-20C Rev.1']",['E']
variable gap,full term,['ECSS-E-ST-20C Rev.2'],['E']
review authority,full term,['ECSS-M-ST-10-01C'],['M']
review item discrepancy,full term,['ECSS-M-ST-10-01C'],['M']
review prerequisite,full term,['ECSS-M-ST-10-01C'],['M']
review team,full term,['ECSS-M-ST-10-01C'],['M']
review team leader,full term,['ECSS-M-ST-10-01C'],['M']
discipline,full term,"['ECSS-M-ST-10C Rev. 1', 'ECSS-S-ST-00-01C']","['M', 'S']"
domain,full term,['ECSS-M-ST-10C Rev. 1'],['M']
change control,full term,['ECSS-M-ST-40C Rev. 1'],['M']
class 1 change,full term,['ECSS-M-ST-40C Rev. 1'],['M']
class 2 change,full term,['ECSS-M-ST-40C Rev. 1'],['M']
configuration control board,full term,['ECSS-M-ST-40C Rev. 1'],['M']
configuration definition document,full term,['ECSS-M-ST-40C Rev. 1'],['M']
configured item,full term,['ECSS-M-ST-40C Rev. 1'],['M']
departure,full term,['ECSS-M-ST-40C Rev. 1'],['M']
information/documentation management,full term,['ECSS-M-ST-40C Rev. 1'],['M']
information system,full term,['ECSS-M-ST-40C Rev. 1'],['M']
metadata,full term,['ECSS-M-ST-40C Rev. 1'],['M']
product item,full term,['ECSS-M-ST-40C Rev. 1'],['M']
self-signed certificate,full term,['ECSS-M-ST-40C Rev. 1'],['M']
technical data package,full term,['ECSS-M-ST-40C Rev. 1'],['M']
technical description,full term,['ECSS-M-ST-40C Rev. 1'],['M']
cost reimbursement contract,full term,['ECSS-M-ST-60C'],['M']
cost estimating,full term,['ECSS-M-ST-60C'],['M']
critical path,full term,"['ECSS-M-ST-60C', 'ECSS-S-ST-00-01C']","['M', 'S']"
direct manpower cost,full term,['ECSS-M-ST-60C'],['M']
economic conditions,full term,['ECSS-M-ST-60C'],['M']
fixed price contract,full term,['ECSS-M-ST-60C'],['M']
acceptance of,full term,['ECSS-M-ST-80C'],['M']
communication,full term,['ECSS-M-ST-80C'],['M']
index,full term,['ECSS-M-ST-80C'],['M']
individual,full term,['ECSS-M-ST-80C'],['M']
management process,full term,['ECSS-M-ST-80C'],['M']
overall,full term,['ECSS-M-ST-80C'],['M']
reduction,full term,['ECSS-M-ST-80C'],['M']
resolved,full term,['ECSS-M-ST-80C'],['M']
scenario,full term,['ECSS-M-ST-80C'],['M']
trend,full term,['ECSS-M-ST-80C'],['M']
unresolved,full term,['ECSS-M-ST-80C'],['M']
acceptance authority media,full term,['ECSS-Q-ST-20C Rev.2 Corr.1'],['Q']
inspectability,full term,"['ECSS-Q-ST-20C Rev.2 Corr.1', 'ECSS-Q-ST-20C Rev.1']",['Q']
producibility,full term,"['ECSS-Q-ST-20C Rev.2 Corr.1', 'ECSS-Q-ST-20C Rev.1']",['Q']
bioaerosol,full term,['ECSS-Q-ST-70-54C'],['Q']
biological contamination,full term,['ECSS-Q-ST-70-54C'],['Q']
cleanliness,full term,"['ECSS-Q-ST-70-54C', 'ECSS-S-ST-00-01C', 'ECSS-E-ST-33-01C']","['Q', 'S', 'E']"
decontamination,full term,['ECSS-Q-ST-70-54C'],['Q']
direct measurement method,full term,['ECSS-Q-ST-70-54C'],['Q']
indirect measurement method,full term,['ECSS-Q-ST-70-54C'],['Q']
surface cleanliness of chemicals,full term,['ECSS-Q-ST-70-54C'],['Q']
surface cleanliness of particles,full term,['ECSS-Q-ST-70-54C'],['Q']
surface cleanliness particles  classification,full term,['ECSS-Q-ST-70-54C'],['Q']
surface particle concentration,full term,['ECSS-Q-ST-70-54C'],['Q']
thin film contamination,full term,['ECSS-Q-ST-70-54C'],['Q']
viable particle,full term,['ECSS-Q-ST-70-54C'],['Q']
cleaning efficacy,full term,['ECSS-Q-ST-70-54C'],['Q']
manufacturer,full term,"['ECSS-Q-ST-20-10C', 'ECSS-Q-ST-60-12C']",['Q']
active redundancy,full term,"['ECSS-Q-ST-30-02C', 'ECSS-Q-ST-30-09C', 'ECSS-S-ST-00-01C']","['Q', 'S']"
area analysis,full term,['ECSS-Q-ST-30-02C'],['Q']
